point,Latitude,longitude
A1,38.14626944,-76.42816389
A2,38.151625,-76.42868333
A3,38.15188889,-76.43146667
A4,38.15059444,-76.43536111
A5,38.14756667,-76.43234167
A6,38.14466667,-76.43294722
A7,38.14325556,-76.43476667
A8,38.14046389,-76.43263611
A9,38.14071944,-76.42601389
A10,38.14376111,-76.42120556
A11,38.14734722,-76.42321111
A12,38.14613056,-76.42665278
	
S1,38.14315556,-76.43388056
S2,38.14103889,-76.43223056
S3,38.14126111,-76.42630556
S4,38.143925,-76.42204167
S5,38.14659444,-76.42359167
